Index,Time,((Shoot_Control).feed_ang).ref,((Shoot_Control).feed_ang).fdb,(AutoAim_Control).buff_pitch
241,0.241090,0,0,0
242,0.242086,0,0,0
243,0.243092,0,0,0
244,0.244087,0,0,0
245,0.245086,0,0,0
246,0.246090,0,0,0
247,0.247089,0,0,0
248,0.248087,0,0,0
249,0.249086,0,0,0
250,0.250114,0,0,0
251,0.251105,0,0,0
252,0.252089,0,0,0
253,0.253085,0,0,0
254,0.254092,0,0,0
255,0.255087,0,0,0
256,0.256086,0,0,0
257,0.257090,0,0,0
258,0.258092,0,0,0
259,0.259087,0,0,0
260,0.260087,0,0,0
261,0.261146,0,0,0
262,0.262086,0,0,0
263,0.263085,0,0,0
264,0.264089,0,0,0
265,0.265088,0,0,0
266,0.266092,0,0,0
267,0.267091,0,0,0
268,0.268089,0,0,0
269,0.269088,0,0,0
270,0.270092,0,0,0
271,0.271146,0,0,0
272,0.272091,0,0,0
273,0.273087,0,0,0
274,0.274086,0,0,0
275,0.275090,0,0,0
276,0.276089,0,0,0
277,0.277092,0,0,0
278,0.278087,0,0,0
279,0.279092,0,0,0
280,0.280091,0,0,0
281,0.281088,0,0,0
282,0.282100,0,0,0
283,0.283092,0,0,0
284,0.284089,0,0,0
285,0.285100,0,0,0
286,0.286092,0,0,0
287,0.287088,0,0,0
288,0.288091,0,0,0
289,0.289088,0,0,0
290,0.290087,0,0,0
291,0.291092,0,0,0
292,0.292092,0,0,0
293,0.293099,0,0,0
294,0.294092,0,0,0
295,0.295088,0,0,0
296,0.296088,0,0,0
297,0.297092,0,0,0
298,0.298087,0,0,0
299,0.299091,0,0,0
300,0.300091,0,0,0
301,0.301087,0,0,0
302,0.302087,0,0,0
303,0.303092,0,0,0
304,0.304107,0,0,0
305,0.305091,0,0,0
306,0.306087,0,0,0
307,0.307087,0,0,0
308,0.308086,0,0,0
309,0.309092,0,0,0
310,0.310087,0,0,0
311,0.311086,0,0,0
312,0.312090,0,0,0
313,0.313089,0,0,0
314,0.314092,0,0,0
315,0.315102,0,0,0
316,0.316085,0,0,0
317,0.317089,0,0,0
318,0.318091,0,0,0
319,0.319087,0,0,0
320,0.320086,0,0,0
321,0.321089,0,0,0
322,0.322088,0,0,0
323,0.323092,0,0,0
324,0.324091,0,0,0
325,0.325087,0,0,0
326,0.326103,0,0,0
327,0.327089,0,0,0
328,0.328087,0,0,0
329,0.329087,0,0,0
330,0.330090,0,0,0
331,0.331089,0,0,0
332,0.332085,0,0,0
333,0.333092,0,0,0
334,0.334087,0,0,0
335,0.335087,0,0,0
336,0.336205,0,0,0
337,0.337092,0,0,0
338,0.338091,0,0,0
339,0.339090,0,0,0
340,0.340086,0,0,0
341,0.341085,0,0,0
342,0.342088,0,0,0
343,0.343088,0,0,0
344,0.344092,0,0,0
345,0.345092,0,0,0
346,0.346088,0,0,0
347,0.347149,0,0,0
348,0.348092,0,0,0
349,0.349092,0,0,0
350,0.350089,0,0,0
351,0.351089,0,0,0
352,0.352085,0,0,0
353,0.353085,0,0,0
354,0.354089,0,0,0
355,0.355089,0,0,0
356,0.356085,0,0,0
357,0.357085,0,0,0
358,0.358153,0,0,0
359,0.359089,0,0,0
360,0.360089,0,0,0
361,0.361086,0,0,0
